S No.,Tag,URL,Names,title,Year
65,Stewart Lee: Content Provider (2018) – Transcript,https://scrapsfromtheloft.com/2020/02/10/stewart-lee-content-provider-transcript/,Stewart Lee,Stewart Lee: Content Provider ,2018.0
66,Sara Pascoe: LadsLadsLads (2019) – Full Transcript,https://scrapsfromtheloft.com/2020/02/02/sara-pascoe-ladsladslads-2019-full-transcript/,Sara Pascoe,Sara Pascoe: LadsLadsLads ,2019.0
67,Dan Soder: Son of a Gary (2019) – Full Transcript,https://scrapsfromtheloft.com/2020/01/23/dan-soder-son-of-a-gary-transcript/,Dan Soder,Dan Soder: Son of a Gary ,2019.0
68,Jim Gaffigan: Quality Time (2019) – Full Transcript,https://scrapsfromtheloft.com/2020/01/19/jim-gaffigan-quality-time-transcript/,Jim Gaffigan,Jim Gaffigan: Quality Time ,2019.0
69,Dave Chappelle Acceptance Speech | 2019 Mark Twain Prize – Transcript,https://scrapsfromtheloft.com/2020/01/13/dave-chappelle-acceptance-speech-2019-mark-twain-prize/,Dave Chappelle Acceptance Speech ,Dave Chappelle Acceptance Speech ,2019.0
70,RICKY GERVAIS: 2020 GOLDEN GLOBES OPENING MONOLOGUE [TRANSCRIPT],https://scrapsfromtheloft.com/2020/01/07/ricky-gervais-2020-golden-globes-monologue-transcript/,RICKY GERVAIS,RICKY GERVAIS: 2020 GOLDEN GLOBES OPENING MONOLOGUE ,2020.0
71,Kevin Bridges: A Whole Different Story (2015) – Full Transcript,https://scrapsfromtheloft.com/2019/12/22/kevin-bridges-whole-different-story-transcript/,Kevin Bridges,Kevin Bridges: A Whole Different Story ,2015.0
72,Kevin Bridges: The Story So Far… Live in Glasgow (2010) – Full Transcript,https://scrapsfromtheloft.com/2019/12/21/kevin-bridges-story-so-far-live-glasgow-transcript/,Kevin Bridges,Kevin Bridges: The Story So Far,2010.0
73,Kevin Bridges: The Story Continues (2012) – Full Transcript,https://scrapsfromtheloft.com/2019/12/21/kevin-bridges-the-story-continues-transcript/,Kevin Bridges,Kevin Bridges: The Story Continues ,2012.0
74,Andy Woodhull: You’ll Always Be Late (2019) – Transcript,https://scrapsfromtheloft.com/2019/12/15/andy-woodhull-youll-always-be-late-transcript/,Andy Woodhull,Andy Woodhull: You’ll Always Be Late ,2019.0
75,Michelle Wolf: Joke Show (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/12/14/michelle-wolf-joke-show-transcript/,Michelle Wolf,Michelle Wolf: Joke Show ,2019.0
76,Tiffany Haddish: Black Mitzvah (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/12/05/tiffany-haddish-black-mitzvah-transcript/,Tiffany Haddish,Tiffany Haddish: Black Mitzvah ,2019.0
77,Mike Birbiglia: The New One (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/11/30/mike-birbiglia-the-new-one-transcript/,Mike Birbiglia,Mike Birbiglia: The New One ,2019.0
78,Iliza Shlesinger: Unveiled (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/11/20/iliza-shlesinger-unveiled-transcript/,Iliza Shlesinger,Iliza Shlesinger: Unveiled ,2019.0
79,Seth Meyers: Lobby Baby (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/11/08/seth-meyers-lobby-baby-transcript/,Seth Meyers,Seth Meyers: Lobby Baby ,2019.0
80,Arsenio Hall: Smart and Classy (2019) – Transcript,https://scrapsfromtheloft.com/2019/10/30/arsenio-hall-smart-and-classy-transcript/,Arsenio Hall,Arsenio Hall: Smart and Classy ,2019.0
81,Sebastian Maniscalco Stand-Up – The Tonight Show Starring Jimmy Fallon (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/10/06/sebastian-maniscalco-tonight-show-starring-jimmy-fallon-transcript/,Sebastian Maniscalco Stand,Sebastian Maniscalco Stand,2019.0
82,Nikki Glaser: Bangin’ (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/10/04/nikki-glaser-bangin-transcript/,Nikki Glaser,Nikki Glaser: Bangin’ ,2019.0
